,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
2508,1.98,2.0,1.54
2509,1.73,1.0,1.31
2514,0.06,0.0,-0.0
2517,-0.01,0.0,-0.0
2522,0.0,0.0,0.0
2524,-0.01,0.0,0.0
2526,-0.01,0.0,0.0
2528,0.56,0.0,-0.0
2536,0.87,1.0,1.19
2538,0.09,0.0,-0.0
2540,-0.02,0.0,-0.0
2548,-0.01,0.0,0.0
2551,0.21,0.0,0.01
2552,0.62,0.0,-0.05
2556,1.05,0.0,-0.15
2557,1.77,0.0,-0.1
2573,-0.01,0.0,-0.0
2577,1.42,0.0,-0.03
2578,1.63,0.0,0.03
2583,1.91,1.0,2.15
2585,0.98,2.0,1.95
2586,0.12,0.0,-0.0
2591,0.02,0.0,-0.01
2594,0.02,0.0,0.0
2595,0.02,0.0,-0.0
2596,0.03,0.0,0.0
2597,0.01,0.0,0.0
2599,-0.04,0.0,0.0
2600,0.12,0.0,0.01
2602,1.1,2.0,2.49
2607,1.74,1.0,2.25
2614,-0.0,0.0,-0.0
2615,-0.0,0.0,-0.0
2616,-0.01,0.0,-0.0
2619,-0.01,0.0,-0.0
2622,-0.01,0.0,0.0
2628,0.28,0.0,0.05
2629,0.18,0.0,-0.07
2631,0.39,0.0,-0.08
2632,0.1,0.0,-0.09
2633,-0.12,0.0,0.01
2636,-0.01,0.0,-0.0
2638,-0.01,0.0,-0.0
2640,-0.02,0.0,0.0
2643,-0.0,0.0,0.0
2644,-0.01,0.0,0.0
2649,2.53,3.0,3.3
2653,2.9,4.0,2.87
2658,0.38,0.0,0.01
2663,-0.03,0.0,-0.0
2666,-0.01,0.0,0.0
2667,-0.01,0.0,0.0
2670,-0.01,0.0,0.0
2671,0.01,0.0,-0.02
2674,2.25,2.0,2.6
2681,1.77,3.0,1.82
2686,-0.01,0.0,-0.0
2689,-0.02,0.0,0.0
2690,-0.02,0.0,0.0
2691,-0.02,0.0,0.0
2692,-0.03,0.0,0.0
2694,0.0,0.0,0.0
2697,2.21,3.0,2.77
2706,0.47,0.0,0.04
2707,0.03,0.0,0.0
2711,0.14,0.0,0.01
2717,-0.03,0.0,0.0
2720,0.87,0.0,-0.0
2722,1.79,2.0,2.25
2723,2.33,2.0,2.17
2724,2.11,1.0,1.67
2725,1.77,1.0,1.58
2728,0.92,2.0,1.2
2729,0.68,0.0,-0.0
2736,-0.01,0.0,-0.0
2737,-0.01,0.0,-0.0
2739,-0.01,0.0,-0.0
2740,-0.01,0.0,-0.0
2744,0.62,1.0,2.04
2745,2.73,2.0,2.63
2748,1.78,2.0,1.71
2749,1.5,1.0,1.63
2752,1.25,0.0,-0.0
2753,1.01,0.0,-0.08
2756,-0.01,0.0,0.0
2762,-0.03,0.0,0.0
2767,0.28,0.0,-0.06
2769,2.15,2.0,2.5
2774,1.57,1.0,1.9
2775,1.78,1.0,2.05
2777,1.04,0.0,-0.05
2778,0.29,0.0,-0.06
2782,-0.01,0.0,-0.0
2783,-0.01,0.0,-0.0
2785,-0.03,0.0,0.0
2789,-0.03,0.0,0.0
2791,-0.02,0.0,-0.06
2794,0.3,0.0,0.02
2797,0.04,0.0,-0.06
2800,0.86,0.0,-0.05
2803,0.06,0.0,-0.05
2805,-0.0,0.0,-0.05
2812,-0.02,0.0,0.0
2814,0.05,0.0,0.0
2818,2.53,2.0,2.5
2819,3.85,4.0,3.74
2820,2.23,2.0,2.81
2822,2.33,2.0,2.15
2823,2.46,3.0,2.63
2831,0.09,0.0,0.05
2833,0.12,0.0,0.05
2840,1.56,2.0,3.26
2842,2.86,2.0,2.8
2843,3.05,4.0,2.16
2846,2.24,3.0,2.41
2849,1.52,2.0,1.69
2855,0.02,0.0,-0.05
2858,-0.01,0.0,0.0
2861,-0.01,0.0,0.0
2864,0.78,0.0,-0.02
2866,2.13,3.0,2.28
2875,-0.05,0.0,-0.01
2882,-0.01,0.0,-0.0
2883,-0.01,0.0,0.0
2888,0.66,1.0,1.91
2892,2.77,2.0,2.91
2894,1.73,2.0,2.43
2902,-0.01,0.0,-0.0
2904,0.03,0.0,0.03
2908,0.04,0.0,0.03
2909,0.04,0.0,0.03
2911,0.53,0.0,0.03
2912,1.05,1.0,2.31
2914,1.61,2.0,2.46
2915,1.99,3.0,2.3
2918,2.47,2.0,2.53
2922,0.66,0.0,0.01
2926,0.05,0.0,0.03
