ì˙éû,åé,ì˙,ójì˙,äOãCâ∑ìx,é∫äOã@â^ì]éûä‘,ìdóÕè¡îÔó ,ó‚ñ[î\óÕ
2022-09-20 15:00:00,9,20,1,22,49,0.9,3.9
2022-09-20 16:00:00,9,20,1,22,49,1.1,5.0
2022-09-21 08:00:00,9,21,2,19,24,0.4,1.0
2022-09-22 09:00:00,9,22,3,24,24,0.4,0.9
2022-09-22 10:00:00,9,22,3,25,38,0.7,1.9
2022-09-22 11:00:00,9,22,3,24,36,0.6,2.1
2022-09-22 12:00:00,9,22,3,25,45,0.9,2.7
2022-09-22 13:00:00,9,22,3,25,19,0.4,1.2
2022-09-22 14:00:00,9,22,3,24,28,0.5,1.4
2022-09-22 15:00:00,9,22,3,24,13,0.3,0.7
2022-09-22 16:00:00,9,22,3,23,23,0.4,1.1
2022-09-27 09:00:00,9,27,1,26,15,0.3,1.0
2022-09-27 10:00:00,9,27,1,28,60,1.2,4.0
2022-09-27 11:00:00,9,27,1,29,60,1.2,4.6
2022-09-27 12:00:00,9,27,1,30,60,1.6,5.8
2022-09-27 13:00:00,9,27,1,28,20,0.4,1.0
2022-09-27 14:00:00,9,27,1,27,21,0.4,1.2
2022-09-27 15:00:00,9,27,1,27,60,1.2,4.7
2022-09-27 16:00:00,9,27,1,26,45,0.9,3.6
2022-09-29 09:00:00,9,29,3,24,12,0.2,0.6
2022-09-29 10:00:00,9,29,3,26,48,0.9,2.8
2022-09-29 11:00:00,9,29,3,25,17,0.4,1.1
2022-09-29 12:00:00,9,29,3,28,58,1.1,3.9
2022-09-29 13:00:00,9,29,3,26,43,0.9,3.1
2022-09-29 14:00:00,9,29,3,25,41,0.8,2.6
2022-09-29 15:00:00,9,29,3,25,24,0.4,1.6
2022-09-29 16:00:00,9,29,3,24,28,0.9,2.6
2022-09-30 08:00:00,9,30,4,25,14,0.3,0.6
