“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-08-23 12:00:00,8,23,1,35,60,0.4151785714285715
2022-08-23 13:00:00,8,23,1,35,60,0.6205357142857143
2022-08-23 14:00:00,8,23,1,35,60,0.6339285714285714
2022-08-23 15:00:00,8,23,1,35,60,0.6473214285714286
2022-08-23 16:00:00,8,23,1,34,60,0.5267857142857143
2022-08-24 08:00:00,8,24,2,32,56,0.3392857142857143
2022-08-24 09:00:00,8,24,2,32,1,0.00892857142857143
2022-08-24 10:00:00,8,24,2,35,55,0.47321428571428575
2022-08-24 11:00:00,8,24,2,33,1,0.00892857142857143
2022-08-24 12:00:00,8,24,2,30,55,0.4330357142857143
2022-08-24 14:00:00,8,24,2,32,55,0.22767857142857142
2022-08-24 16:00:00,8,24,2,31,55,0.2098214285714286
2022-08-25 08:00:00,8,25,3,27,56,0.18750000000000003
2022-08-25 09:00:00,8,25,3,27,60,0.2098214285714286
2022-08-25 10:00:00,8,25,3,28,60,0.2098214285714286
2022-08-25 11:00:00,8,25,3,29,60,0.20535714285714285
2022-08-25 12:00:00,8,25,3,30,60,0.2098214285714286
2022-08-25 13:00:00,8,25,3,30,60,0.21875000000000003
2022-08-25 14:00:00,8,25,3,29,60,0.2142857142857143
2022-08-25 15:00:00,8,25,3,30,60,0.22767857142857142
2022-08-25 16:00:00,8,25,3,29,60,0.22321428571428573
2022-08-25 17:00:00,8,25,3,29,19,0.026785714285714288
2022-08-26 08:00:00,8,26,4,27,56,0.20089285714285715
2022-08-26 10:00:00,8,26,4,28,55,0.21875000000000003
2022-08-26 12:00:00,8,26,4,32,55,0.23660714285714288
2022-08-26 14:00:00,8,26,4,31,55,0.2410714285714286
2022-08-26 16:00:00,8,26,4,30,55,0.2455357142857143
2022-08-29 10:00:00,8,29,0,27,32,0.08928571428571429
2022-08-29 12:00:00,8,29,0,30,50,0.15625
2022-08-29 14:00:00,8,29,0,29,55,0.16964285714285715
2022-08-29 16:00:00,8,29,0,27,38,0.11160714285714286
2022-08-30 11:00:00,8,30,1,26,8,0.004464285714285715
2022-08-30 12:00:00,8,30,1,28,57,0.19196428571428573
2022-08-30 13:00:00,8,30,1,27,60,0.21875000000000003
2022-08-30 14:00:00,8,30,1,27,60,0.21875000000000003
2022-08-30 15:00:00,8,30,1,27,60,0.2455357142857143
2022-08-30 16:00:00,8,30,1,26,60,0.22321428571428573
2022-08-31 08:00:00,8,31,2,27,27,0.08482142857142858
2022-08-31 10:00:00,8,31,2,33,56,0.22767857142857142
2022-08-31 12:00:00,8,31,2,35,56,0.3392857142857143
2022-08-31 14:00:00,8,31,2,35,56,0.23214285714285718
2022-08-31 16:00:00,8,31,2,32,56,0.22321428571428573
2022-09-01 08:00:00,9,1,3,28,56,0.23660714285714288
2022-09-01 09:00:00,9,1,3,30,60,0.44196428571428575
2022-09-01 10:00:00,9,1,3,30,60,0.32589285714285715
2022-09-01 11:00:00,9,1,3,34,60,0.26785714285714285
2022-09-01 12:00:00,9,1,3,35,60,0.4107142857142857
2022-09-01 13:00:00,9,1,3,34,60,0.43750000000000006
2022-09-01 14:00:00,9,1,3,34,60,0.4241071428571429
2022-09-01 15:00:00,9,1,3,33,60,0.44196428571428575
2022-09-01 16:00:00,9,1,3,32,60,0.4330357142857143
2022-09-01 17:00:00,9,1,3,31,15,0.022321428571428572
2022-09-02 08:00:00,9,2,4,26,56,0.19642857142857145
2022-09-02 10:00:00,9,2,4,25,8,0.00892857142857143
2022-09-02 12:00:00,9,2,4,23,10,0.004464285714285715
