“úŽž,ŒŽ,“ú,—j“ú,ŠO‹C‰·“x,ŽºŠO‹@‰^“]ŽžŠÔ,•‰‰×—¦
2022-07-23 17:00:00,7,23,5,33,60,0.2746268656716418
2022-07-23 18:00:00,7,23,5,31,1,0.0029850746268656717
2022-07-24 06:00:00,7,24,6,30,16,0.15223880597014924
2022-07-24 07:00:00,7,24,6,30,60,0.555223880597015
2022-07-24 08:00:00,7,24,6,32,60,0.5164179104477612
2022-07-24 09:00:00,7,24,6,31,26,0.13134328358208958
2022-07-24 10:00:00,7,24,6,33,50,0.17313432835820894
2022-07-24 11:00:00,7,24,6,34,60,0.22985074626865673
2022-07-24 12:00:00,7,24,6,35,60,0.1970149253731343
2022-07-24 13:00:00,7,24,6,37,60,0.41492537313432837
2022-07-24 14:00:00,7,24,6,37,60,0.5343283582089552
2022-07-24 15:00:00,7,24,6,35,60,0.49552238805970156
2022-07-24 16:00:00,7,24,6,35,60,0.3701492537313433
2022-07-24 17:00:00,7,24,6,32,46,0.25074626865671645
2022-07-25 06:00:00,7,25,0,31,12,0.0955223880597015
2022-07-25 07:00:00,7,25,0,32,60,0.5402985074626866
2022-07-25 08:00:00,7,25,0,33,60,0.3343283582089552
2022-07-25 09:00:00,7,25,0,35,51,0.2597014925373134
2022-07-25 10:00:00,7,25,0,35,49,0.26865671641791045
2022-07-25 11:00:00,7,25,0,36,40,0.2
2022-07-25 12:00:00,7,25,0,35,53,0.25671641791044775
2022-07-25 13:00:00,7,25,0,35,55,0.32238805970149254
2022-07-25 14:00:00,7,25,0,36,51,0.26865671641791045
2022-07-25 15:00:00,7,25,0,36,60,0.28955223880597014
2022-07-25 16:00:00,7,25,0,35,60,0.417910447761194
2022-07-25 17:00:00,7,25,0,33,60,0.3970149253731344
2022-07-25 18:00:00,7,25,0,29,55,0.2716417910447761
2022-07-25 19:00:00,7,25,0,31,60,0.2716417910447761
2022-07-25 23:00:00,7,25,0,30,12,0.08656716417910447
2022-07-26 06:00:00,7,26,1,26,14,0.12537313432835823
2022-07-26 07:00:00,7,26,1,25,60,0.43582089552238806
2022-07-26 08:00:00,7,26,1,25,50,0.21492537313432836
2022-07-26 09:00:00,7,26,1,26,50,0.1970149253731343
2022-07-26 10:00:00,7,26,1,26,45,0.21791044776119403
2022-07-26 11:00:00,7,26,1,26,14,0.06567164179104479
2022-07-26 12:00:00,7,26,1,25,30,0.07761194029850746
2022-07-26 13:00:00,7,26,1,27,29,0.1044776119402985
2022-07-26 14:00:00,7,26,1,28,32,0.10746268656716418
2022-07-26 15:00:00,7,26,1,30,32,0.13134328358208958
2022-07-26 16:00:00,7,26,1,30,32,0.12835820895522387
2022-07-26 17:00:00,7,26,1,30,27,0.11044776119402985
2022-07-26 18:00:00,7,26,1,28,41,0.2208955223880597
2022-07-26 19:00:00,7,26,1,28,52,0.2
2022-07-27 06:00:00,7,27,2,31,14,0.11641791044776119
2022-07-27 07:00:00,7,27,2,30,60,0.3940298507462686
2022-07-27 08:00:00,7,27,2,31,54,0.1791044776119403
2022-07-27 09:00:00,7,27,2,33,43,0.17313432835820894
2022-07-27 10:00:00,7,27,2,33,47,0.18208955223880596
2022-07-27 11:00:00,7,27,2,33,51,0.2776119402985075
2022-07-27 12:00:00,7,27,2,34,40,0.20597014925373136
2022-07-27 13:00:00,7,27,2,35,44,0.1880597014925373
2022-07-27 14:00:00,7,27,2,34,47,0.25074626865671645
2022-07-27 15:00:00,7,27,2,35,51,0.2716417910447761
2022-07-27 16:00:00,7,27,2,32,48,0.2
2022-07-27 17:00:00,7,27,2,33,51,0.2537313432835821
2022-07-27 18:00:00,7,27,2,31,53,0.3044776119402985
2022-07-27 19:00:00,7,27,2,30,60,0.2716417910447761
2022-07-28 06:00:00,7,28,3,32,14,0.11940298507462686
2022-07-28 07:00:00,7,28,3,32,60,0.4119402985074627
2022-07-28 08:00:00,7,28,3,33,60,0.2835820895522388
2022-07-28 09:00:00,7,28,3,34,46,0.23283582089552238
2022-07-28 10:00:00,7,28,3,35,60,0.3641791044776119
2022-07-28 11:00:00,7,28,3,36,59,0.3343283582089552
2022-07-28 12:00:00,7,28,3,34,53,0.21791044776119403
2022-07-28 13:00:00,7,28,3,35,60,0.26865671641791045
2022-07-28 14:00:00,7,28,3,37,60,0.28059701492537314
2022-07-28 15:00:00,7,28,3,37,60,0.4
2022-07-28 16:00:00,7,28,3,34,60,0.26865671641791045
2022-07-28 17:00:00,7,28,3,32,60,0.22686567164179103
2022-07-28 18:00:00,7,28,3,32,26,0.17313432835820894
2022-07-28 19:00:00,7,28,3,31,60,0.2865671641791045
