,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2018-11-05,3.0,1.0,2.0,1.0,1.0,1.0,2018-11-05
2018-11-06,5.0,1.0,1.0,1.0,1.0,1.0,2018-11-06
2018-11-07,5.0,1.0,2.0,1.0,1.0,1.0,2018-11-07
2018-11-08,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-08
2018-11-09,5.0,2.0,2.0,1.0,1.0,1.0,2018-11-09
2018-11-10,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-10
2018-11-11,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-11
2018-11-12,4.0,1.0,2.0,1.0,1.0,1.0,2018-11-12
2018-11-13,3.0,1.0,2.0,1.0,1.0,1.0,2018-11-13
2018-11-14,4.0,1.0,1.0,1.0,1.0,1.0,2018-11-14
2018-11-15,3.0,2.0,2.0,1.0,1.0,1.0,2018-11-15
2018-11-16,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-16
2018-11-17,3.0,1.0,2.0,1.0,1.0,1.0,2018-11-17
2018-11-18,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-18
2018-11-19,3.0,1.0,2.0,1.0,1.0,1.0,2018-11-19
2018-11-20,3.0,2.0,1.0,1.0,1.0,1.0,2018-11-20
2018-11-21,3.0,1.0,2.0,1.0,1.0,1.0,2018-11-21
2018-11-22,3.0,1.0,1.0,1.0,1.0,1.0,2018-11-22
2018-11-23,2.0,1.0,1.0,1.0,0.0,1.0,2018-11-23
2018-11-24,4.0,2.0,20.0,1.0,1.0,2.0,2018-11-24
2018-11-25,4.0,1.0,2.0,1.0,1.0,1.0,2018-11-25
2018-11-26,9.0,2.0,10.0,6.0,4.0,5.0,2018-11-26
2018-11-27,7.0,1.0,9.0,4.0,3.0,5.0,2018-11-27
2018-11-28,3.0,1.0,9.0,4.0,2.0,5.0,2018-11-28
2018-11-29,3.0,2.0,13.0,6.0,2.0,9.0,2018-11-29
2018-11-30,8.0,1.0,13.0,6.0,3.0,8.0,2018-11-30
2018-12-01,3.0,2.0,2.0,1.0,2.0,2.0,2018-12-01
2018-12-02,4.0,1.0,2.0,1.0,1.0,1.0,2018-12-02
2018-12-03,8.0,2.0,11.0,5.0,3.0,5.0,2018-12-03
2018-12-04,3.0,1.0,7.0,4.0,1.0,4.0,2018-12-04
2018-12-05,3.0,1.0,2.0,1.0,1.0,1.0,2018-12-05
2018-12-06,10.0,2.0,24.0,14.0,4.0,14.0,2018-12-06
2018-12-07,4.0,1.0,10.0,4.0,3.0,6.0,2018-12-07
2018-12-08,3.0,2.0,2.0,1.0,1.0,1.0,2018-12-08
2018-12-09,3.0,1.0,2.0,1.0,1.0,1.0,2018-12-09
2018-12-10,22.0,2.0,29.0,16.0,16.0,15.0,2018-12-10
2018-12-11,28.0,1.0,32.0,16.0,18.0,16.0,2018-12-11
2018-12-12,25.0,2.0,28.0,16.0,16.0,15.0,2018-12-12
2018-12-13,22.0,1.0,28.0,16.0,17.0,16.0,2018-12-13
2018-12-14,34.0,2.0,29.0,15.0,16.0,15.0,2018-12-14
2018-12-15,3.0,1.0,2.0,1.0,2.0,1.0,2018-12-15
2018-12-16,11.0,2.0,1.0,1.0,1.0,1.0,2018-12-16
2018-12-17,30.0,1.0,29.0,16.0,17.0,16.0,2018-12-17
2018-12-18,30.0,1.0,26.0,15.0,17.0,15.0,2018-12-18
2018-12-19,29.0,2.0,25.0,15.0,16.0,15.0,2018-12-19
2018-12-20,26.0,1.0,23.0,9.0,12.0,16.0,2018-12-20
2018-12-21,28.0,2.0,24.0,9.0,12.0,16.0,2018-12-21
2018-12-22,6.0,1.0,2.0,2.0,2.0,1.0,2018-12-22
2018-12-23,4.0,2.0,2.0,1.0,1.0,1.0,2018-12-23
2018-12-24,3.0,1.0,1.0,1.0,1.0,1.0,2018-12-24
2018-12-25,28.0,2.0,31.0,16.0,18.0,15.0,2018-12-25
2018-12-26,28.0,1.0,28.0,15.0,17.0,16.0,2018-12-26
2018-12-27,21.0,2.0,24.0,15.0,16.0,16.0,2018-12-27
