,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
981,1.23,1.0,1.0
982,1.12,1.0,0.99
984,1.22,1.0,0.99
985,1.24,1.0,1.0
986,1.16,1.0,0.99
988,1.24,1.0,1.0
989,1.25,1.0,1.0
990,1.16,1.0,1.0
992,1.53,2.0,2.0
997,1.41,2.0,1.99
998,1.09,1.0,1.0
999,1.0,0.0,0.83
1000,1.3,1.0,1.0
1002,1.35,1.0,1.0
1003,1.17,1.0,0.99
1004,1.27,1.0,1.0
1005,1.52,2.0,2.02
1007,1.28,1.0,1.0
1008,1.3,1.0,1.0
1009,1.44,2.0,2.0
1010,1.17,1.0,1.0
1011,1.28,1.0,1.01
1012,1.23,1.0,1.02
1013,1.3,2.0,1.99
1015,1.23,1.0,1.0
1018,1.22,1.0,1.0
1020,1.34,1.0,1.0
1021,1.4,2.0,2.0
1023,1.27,1.0,1.0
1024,1.4,1.0,1.0
1025,1.45,2.0,1.99
1026,1.15,1.0,0.98
1028,1.24,1.0,1.0
1030,1.09,1.0,0.99
1031,1.11,1.0,0.99
1033,1.46,2.0,2.01
1034,1.34,1.0,1.0
1035,1.25,1.0,1.0
1036,1.13,1.0,0.99
1037,1.04,1.0,0.99
1038,1.5,2.0,2.01
1039,1.21,1.0,1.0
1040,1.26,1.0,1.0
1042,1.54,2.0,1.95
1044,1.19,1.0,0.94
1045,1.57,2.0,2.0
1049,1.23,1.0,1.0
1050,1.57,2.0,1.99
1051,1.09,1.0,1.0
1053,1.33,1.0,1.0
1054,1.41,2.0,2.01
1055,1.14,1.0,1.0
1057,1.22,1.0,1.0
1058,1.1,1.0,1.0
1061,1.33,1.0,1.01
1063,1.51,2.0,2.01
1065,1.15,1.0,1.0
1066,1.23,1.0,1.0
1067,1.26,1.0,0.99
1068,1.47,2.0,1.92
1069,1.25,1.0,1.0
1071,1.14,1.0,0.99
1072,1.39,2.0,2.0
1073,1.22,1.0,1.0
1074,1.14,1.0,1.0
1075,1.24,1.0,1.0
1076,1.22,1.0,1.0
1077,1.4,2.0,2.0
1080,1.28,1.0,1.0
1081,1.59,2.0,2.0
1084,1.25,1.0,1.0
1085,1.08,1.0,1.0
1086,1.22,1.0,1.0
1087,1.47,2.0,2.0
1089,1.18,1.0,1.05
1092,1.34,2.0,2.01
1093,1.38,1.0,0.94
1094,1.1,1.0,1.0
1095,1.18,1.0,1.0
1096,1.21,1.0,0.99
1099,1.28,1.0,1.0
