リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,23.8,0,0,26,26.4,0,0,26,26.7,59,12
26,19,0,0,26,26.7,0,0,26,27.1,0,0
26,23.5,0,0,26,26,0,0,26,27,0,0
26,24.5,0,0,26,25.8,0,0,26,26.6,0,0
26,24.7,0,0,26,25.9,0,0,26,25.9,0,0
26,24.9,0,0,26,25.9,0,0,26,25.8,0,0
26,25,0,0,26,25.9,0,0,26,25.6,0,0
26,25.1,0,0,26,26,0,0,26,25.7,0,0
26,25.3,0,0,26,26,0,0,26,25.6,0,0
26,25.1,0,0,26,26.2,0,0,26,25.6,0,0
26,25.2,0,0,26,26.2,0,0,26,25.5,0,0
26,25.2,0,0,26,26.3,0,0,26,25.5,0,0
26,25.3,0,0,26,26.3,0,0,26,25.5,0,0
26,25.2,0,0,26,26.3,0,0,26,25.5,0,0
26,25.2,0,0,26,26.4,0,0,26,25.5,0,0
26,24.9,60,0,26,25.5,60,0,26,26.9,60,0
26,25.1,0,0,26,26.2,0,0,26,27.2,0,0
26,24.6,60,0,26,26,60,0,26,27.2,60,7
26,22.4,0,0,26,27.8,0,0,26,26.2,0,0
26,24.6,60,0,26,25.9,60,0,26,26.7,60,12
26,24.5,0,0,26,26,0,0,26,27.2,0,0
26,24.6,60,0,26,26.6,60,0,26,26.8,60,11
26,24.5,0,0,26,26.6,0,0,26,27.2,0,0
26,24.5,60,0,26,26.5,60,0,26,26.9,60,15
26,23,0,0,26,27.1,0,0,26,25.8,0,0
26,24.9,0,0,26,27.8,0,0,26,26.7,0,0
26,25.2,0,0,26,26.7,0,0,26,26.7,0,0
26,25.3,0,0,26,26.4,0,0,26,26.4,0,0
26,25.2,0,0,26,26.3,0,0,26,25.9,0,0
26,25,0,0,26,26.2,0,0,26,25.8,0,0
26,25.1,0,0,26,26.2,0,0,26,25.7,0,0
26,25.2,0,0,26,26.2,0,0,26,25.6,0,0
26,25.2,0,0,26,26.3,0,0,26,25.7,0,0
26,25.1,0,0,26,26.2,0,0,26,25.5,0,0
26,25.2,0,0,26,26.5,0,0,26,25.6,0,0
26,25,0,0,26,26.4,0,0,26,25.6,0,0
26,25.2,0,0,26,26.2,0,0,26,25.5,0,0
26,25.1,0,0,26,26.2,0,0,26,25.4,0,0
26,25.1,0,0,26,26.2,0,0,26,25.4,0,0
26,25.1,0,0,26,26.2,0,0,26,25.3,0,0
26,25.1,0,0,26,25.9,0,0,26,25.3,0,0
26,25.2,0,0,26,25.9,0,0,26,25.3,0,0
26,25.2,0,0,26,26,0,0,26,25.2,0,0
26,25.1,0,0,26,25.9,0,0,26,25.2,0,0
26,25.2,0,0,26,26,0,0,26,25.3,0,0
26,25,0,0,26,26.1,0,0,26,25.2,0,0
26,25.1,0,0,26,26.2,0,0,26,25.3,0,0
26,25.2,0,0,26,26.2,0,0,26,25.1,0,0
26,25.2,0,0,26,26.2,0,0,26,25.3,0,0
26,25.1,0,0,26,26.3,0,0,26,25.3,0,0
26,25.2,0,0,26,26.4,0,0,26,25.2,0,0
26,25.1,0,0,26,26.4,0,0,26,25.3,0,0
26,25.1,0,0,26,26.4,0,0,26,25.2,0,0
26,24.9,0,0,26,26.5,0,0,26,25.2,0,0
26,24.9,0,0,26,26.3,0,0,26,25.2,0,0
26,25,0,0,26,26.2,0,0,26,25.3,0,0
26,25.1,0,0,26,26.5,0,0,26,25.2,0,0
26,25.1,0,0,26,26.6,0,0,26,25.2,0,0
26,25.1,0,0,26,26.6,0,0,26,25.3,0,0
26,25,0,0,26,26.7,0,0,26,25.3,0,0
26,25,0,0,26,26.7,0,0,26,25.3,0,0
26,25.1,0,0,26,26.7,0,0,26,25.3,0,0
26,25,0,0,26,26.6,0,0,26,25.3,0,0
26,25.1,0,0,26,26.8,0,0,26,25.2,0,0
26,25.1,0,0,26,26.7,0,0,26,25.4,0,0
26,25.4,0,0,26,26.6,0,0,26,25.8,0,0
26,25.5,0,0,26,26.7,0,0,26,25.8,0,0
26,25.7,0,0,26,26.9,0,0,26,25.7,0,0
26,25.5,0,0,26,26.8,0,0,26,25.8,0,0
26,25.6,0,0,26,27,0,0,26,25.6,0,0
26,25.6,0,0,26,27.1,0,0,26,25.3,0,0
26,25.5,0,0,26,27.1,0,0,26,25.3,0,0
26,25.4,0,0,26,27.2,0,0,26,25.2,0,0
26,25.4,0,0,26,27.1,0,0,26,25.2,0,0
26,25.6,0,0,26,27.1,0,0,26,25.6,0,0
26,25.4,0,0,26,27.2,0,0,26,25.7,0,0
26,25.5,0,0,26,27.2,0,0,26,25.7,0,0
26,25.5,0,0,26,27.2,0,0,26,25.7,0,0
26,25.2,0,0,26,27.2,0,0,26,25.4,0,0
26,25.1,0,0,26,27.2,0,0,26,25.5,0,0
26,25.1,0,0,26,27.2,0,0,26,25.5,0,0
26,25.1,0,0,26,27.2,0,0,26,25.5,0,0
26,25.1,0,0,26,27.2,0,0,26,25.5,0,0
