リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
27,25.1,0,0,27,25.7,0,0,27,26.1,0,0
27,24.9,0,0,27,25.4,0,0,27,26,0,0
27,25.1,0,0,27,25.5,0,0,27,25.9,0,0
27,25.3,0,0,27,25.3,0,0,27,25.9,0,0
27,25.2,0,0,27,25.3,0,0,27,26,0,0
27,25.4,0,0,27,25.2,0,0,27,26.1,0,0
27,25.4,0,0,27,25.6,0,0,27,26,0,0
27,25.4,0,0,27,25.8,0,0,27,26.2,0,0
27,25.5,0,0,27,26,0,0,27,26.2,0,0
27,25.5,0,0,27,26,0,0,27,26.2,0,0
27,25.4,0,0,27,26.1,0,0,27,26.1,0,0
27,25.4,0,0,27,26.3,0,0,27,26.1,0,0
27,25.4,0,0,27,26.2,0,0,27,26.1,0,0
27,25.4,0,0,27,26.1,0,0,27,26.2,0,0
27,25.6,0,0,27,25.9,0,0,27,26.2,0,0
27,25.2,0,0,27,26,0,0,27,26.3,0,0
27,25.7,0,0,27,26.4,0,0,27,26.5,0,0
27,25.7,0,0,27,26.6,0,0,27,26.4,0,0
27,26,0,0,27,26.8,0,0,27,26.5,0,0
27,26,0,0,27,26.9,0,0,27,26.6,0,0
27,26,0,0,27,27.2,0,0,27,27.2,0,0
27,25.9,0,0,27,27.1,0,0,27,26.9,0,0
27,25.6,0,0,27,27,0,0,27,26.5,0,0
27,25.4,0,0,27,26.7,0,0,27,26.2,0,0
27,25.3,0,0,27,26.6,0,0,27,26.2,0,0
27,25.7,0,0,27,26.5,0,0,27,26.2,0,0
27,25.9,0,0,27,26.5,0,0,27,26.3,0,0
27,25.8,0,0,27,26.5,0,0,27,26.4,0,0
27,25.7,0,0,27,26.5,0,0,27,26.2,0,0
27,25.8,0,0,27,26.4,0,0,27,26,0,0
27,25.8,0,0,27,26.5,0,0,27,26.1,0,0
27,26,0,0,27,26.7,0,0,27,26.2,0,0
27,26.1,0,0,27,26.7,0,0,27,26.2,0,0
27,26,0,0,27,26.7,0,0,27,26.2,0,0
27,25.9,0,0,27,26.6,0,0,27,26.2,0,0
27,26,0,0,27,26.6,0,0,27,26.2,0,0
27,26.2,0,0,27,26.8,0,0,27,26.4,0,0
27,26.2,0,0,27,26.9,0,0,27,26.7,0,0
27,25.8,0,0,27,27.2,0,0,27,26.6,0,0
27,25.4,60,0,27,23.9,60,0,27,25.4,60,0
27,27.8,0,0,27,26.7,0,0,27,26.8,0,0
27,25.4,60,0,27,23.9,60,0,27,25.9,60,0
27,27.9,0,0,27,25.6,0,0,27,23.5,0,0
27,25.4,60,0,27,23.9,60,0,27,25.1,60,0
27,27.9,0,0,27,25.5,0,0,27,21.5,0,0
27,25.5,60,0,27,23.7,60,0,27,25,60,0
27,27.8,0,0,27,25.8,0,0,27,24.6,0,0
27,26,0,0,27,25,0,0,27,25,0,0
27,25.7,0,0,27,25.6,0,0,27,25.5,0,0
27,25.8,0,0,27,25.8,0,0,27,26.1,0,0
27,25.9,0,0,27,26.1,0,0,27,26.1,0,0
27,25.8,0,0,27,26.3,0,0,27,26.2,0,0
27,25.8,0,0,27,26.4,0,0,27,26.4,0,0
27,25.9,0,0,27,26.4,0,0,27,26.5,0,0
27,26.2,0,0,27,26.8,0,0,27,26.6,0,0
27,26.4,0,0,27,27.1,0,0,27,26.6,0,0
27,26.5,0,0,27,27.1,0,0,27,26.6,0,0
27,26.5,0,0,27,27,0,0,27,26.7,0,0
27,26.5,0,0,27,27.1,0,0,27,26.7,0,0
27,26.4,0,0,27,27.1,0,0,27,26.7,0,0
27,26.5,0,0,27,27.1,0,0,27,26.8,0,0
27,26.2,0,0,27,26.9,0,0,27,26.9,0,0
27,25.8,0,0,27,26.6,0,0,27,25.1,60,0
25,22.9,60,60,25,23,60,53,25,23.6,60,60
25,22.7,60,40,25,22.6,60,37,25,23.5,60,60
25,22.5,60,53,25,23.5,60,0,25,23.6,60,60
25,22.9,60,50,25,23.6,60,0,25,23.3,60,60
25,22.7,60,40,25,23.6,60,0,25,23.1,60,60
25,22.8,60,43,25,23.4,60,0,25,22.9,60,60
25,23,60,30,25,23.5,60,0,25,23.1,60,60
25,23,60,15,25,23.4,60,0,25,23,60,60
25,26.2,0,0,25,24.3,0,0,25,20,0,0
25,25.8,0,0,25,22.9,0,0,25,24.3,0,0
25,25.3,0,0,25,25.3,0,0,25,25.3,0,0
25,25.7,0,0,25,25.9,0,0,25,25.5,0,0
