,éûçèï 
3228,inf
3229,29.3
3231,20.25
3232,24.88
3233,11.25
3235,inf
3236,inf
3237,inf
3239,inf
3240,inf
3242,inf
3245,inf
3246,inf
3247,inf
3248,inf
3253,inf
3255,inf
3256,inf
3257,inf
3258,inf
3259,inf
3261,inf
3267,inf
3268,inf
3270,inf
3271,inf
3274,inf
3275,47.42
3277,inf
3278,inf
3279,inf
3282,inf
3283,inf
3284,inf
3285,inf
3287,75.75
3288,inf
3290,inf
3291,inf
3293,inf
3294,inf
3295,inf
3296,inf
3297,inf
3299,53.11
3300,inf
3301,inf
3302,inf
3303,inf
3304,inf
3306,inf
3307,inf
3309,inf
3310,79.85
3311,inf
3312,inf
3313,inf
3314,inf
3315,inf
3316,inf
3317,inf
3318,inf
3320,inf
3322,23.12
3323,36.25
3324,19.12
3325,9.96
3327,17.89
3328,21.74
3330,1.23
3333,inf
3335,inf
3336,inf
3337,inf
3338,inf
3340,inf
3341,inf
3343,inf
3344,4.38
3345,12.99
3346,10.23
3349,13.03
3350,inf
3351,26.88
3352,16.61
3353,72.18
3355,inf
3357,inf
3358,inf
3359,inf
3361,inf
3362,inf
3363,inf
3364,inf
3365,inf
3367,36.78
3368,21.75
3369,26.73
3370,16.76
3372,11.09
3374,0.84
3375,24.06
3376,11.7
3378,40.34
3379,45.33
3381,19.71
3382,22.01
3383,inf
3384,inf
3385,inf
