,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
18275,inf,inf,inf,inf
18276,inf,inf,inf,inf
18277,40.3,61.21,3.61,5.28
18278,inf,inf,inf,inf
18280,inf,inf,inf,inf
18281,inf,inf,inf,inf
18282,inf,inf,inf,inf
18283,inf,inf,inf,inf
18286,inf,inf,inf,inf
18287,75.24,66.48,0.61,0.09
18291,inf,inf,inf,inf
18292,72.2,66.17,0.06,0.22
18293,inf,inf,inf,inf
18295,31.67,38.73,4.51,6.34
18297,inf,inf,inf,inf
18298,inf,inf,inf,inf
18301,inf,inf,inf,inf
18303,inf,inf,inf,inf
18305,42.42,75.78,3.51,3.71
18306,inf,inf,inf,inf
18308,64.04,52.83,1.39,3.24
18309,56.07,66.2,1.02,1.58
18311,inf,inf,inf,inf
18312,inf,inf,inf,inf
18313,inf,inf,inf,inf
18314,inf,inf,inf,inf
18315,inf,inf,inf,inf
18317,inf,inf,inf,inf
18318,48.04,53.32,3.81,7.56
18319,inf,inf,inf,inf
18321,inf,inf,inf,inf
18322,26.51,14.08,3.34,3.45
18323,inf,inf,inf,inf
18324,inf,inf,inf,inf
18327,inf,inf,inf,inf
18328,inf,inf,inf,inf
18329,inf,inf,inf,inf
18331,64.67,67.41,6.64,6.57
18332,inf,inf,inf,inf
18333,63.77,63.64,0.56,1.13
18335,inf,inf,inf,inf
18337,69.82,72.88,0.05,0.25
18338,inf,inf,inf,inf
18339,inf,inf,inf,inf
18341,55.08,61.31,4.96,4.98
18344,inf,inf,inf,inf
18345,inf,inf,inf,inf
18346,inf,inf,inf,inf
18347,37.42,38.22,0.57,6.29
18348,inf,inf,inf,inf
18349,45.29,31.04,11.8,3.26
18351,61.1,62.93,0.59,2.02
18352,45.45,46.73,2.45,3.43
18354,inf,inf,inf,inf
18355,inf,inf,inf,inf
18357,inf,inf,inf,inf
18358,inf,inf,inf,inf
18359,inf,inf,inf,inf
18361,inf,inf,inf,inf
18362,inf,inf,inf,inf
18364,67.71,60.74,2.09,0.7
18365,inf,inf,inf,inf
18368,42.08,38.61,4.73,5.08
18369,inf,inf,inf,inf
18371,inf,inf,inf,inf
18372,78.92,74.1,23.85,6.58
18373,inf,inf,inf,inf
18374,inf,inf,inf,inf
18375,inf,inf,inf,inf
18377,inf,inf,inf,inf
18378,69.92,44.82,7.52,4.06
18379,inf,inf,inf,inf
18380,65.07,67.6,3.67,2.61
18381,inf,inf,inf,inf
18382,61.2,65.98,3.39,1.46
18383,inf,inf,inf,inf
18385,inf,inf,inf,inf
18386,inf,inf,inf,inf
18388,inf,inf,inf,inf
18389,60.79,67.44,0.8,0.95
18390,inf,inf,inf,inf
18391,inf,inf,inf,inf
18392,80.09,30.31,17.66,12.1
18393,29.86,30.36,1.34,5.39
18394,inf,inf,inf,inf
18395,36.59,40.41,10.4,2.39
18397,inf,inf,inf,inf
18399,inf,inf,inf,inf
18401,inf,inf,inf,inf
18402,78.2,66.09,0.06,0.74
18403,inf,inf,inf,inf
18406,inf,inf,inf,inf
18409,46.5,48.52,3.29,0.19
18410,58.02,71.16,3.59,3.89
18411,54.79,48.11,1.67,0.4
18413,12.92,23.35,8.92,6.93
18414,inf,inf,inf,inf
18415,inf,inf,inf,inf
18416,inf,inf,inf,inf
18419,inf,inf,inf,inf
18421,inf,inf,inf,inf
18426,inf,inf,inf,inf
18427,inf,inf,inf,inf
18428,inf,inf,inf,inf
18429,64.11,69.71,1.25,2.91
18430,63.14,57.67,1.21,2.61
18431,57.81,58.55,1.04,1.47
18432,inf,inf,inf,inf
18434,inf,inf,inf,inf
18435,inf,inf,inf,inf
18436,inf,inf,inf,inf
18437,inf,inf,inf,inf
18439,inf,inf,inf,inf
18440,22.41,29.69,8.74,10.36
18441,8.4,37.06,5.87,9.19
18442,inf,inf,inf,inf
18443,inf,inf,inf,inf
18447,22.56,42.86,6.74,6.25
18449,52.33,63.65,5.32,4.66
18451,inf,inf,inf,inf
18453,72.71,68.88,0.22,0.95
18454,59.62,58.33,1.09,1.92
18455,inf,inf,inf,inf
18456,inf,inf,inf,inf
18457,inf,inf,inf,inf
18458,inf,inf,inf,inf
18459,inf,inf,inf,inf
18460,68.63,64.59,0.58,0.2
18461,inf,inf,inf,inf
18462,inf,inf,inf,inf
18465,18.99,4.37,9.17,13.77
18466,inf,inf,inf,inf
18468,17.04,3.16,8.01,7.14
18469,8.91,9.75,6.7,1.06
18471,inf,inf,inf,inf
18472,inf,inf,inf,inf
18474,63.51,58.63,2.17,4.57
18475,inf,inf,inf,inf
18476,48.4,50.71,1.51,3.15
18477,inf,inf,inf,inf
18480,inf,inf,inf,inf
18481,inf,inf,inf,inf
18482,61.93,66.81,0.26,0.51
18484,inf,inf,inf,inf
18485,inf,inf,inf,inf
18486,inf,inf,inf,inf
18487,inf,inf,inf,inf
18488,inf,inf,inf,inf
18489,22.43,12.25,4.06,9.55
18490,59.35,55.51,20.2,21.84
18491,12.15,9.48,3.92,5.91
18493,15.9,32.52,9.51,4.26
18494,2.11,16.01,2.68,1.6
18495,33.71,46.08,4.75,3.2
18496,inf,inf,inf,inf
18499,inf,inf,inf,inf
18500,77.02,74.07,0.73,0.54
18501,inf,inf,inf,inf
18502,51.8,55.75,0.15,1.67
18505,55.13,57.42,0.07,0.44
18507,inf,inf,inf,inf
18508,inf,inf,inf,inf
18509,58.44,53.18,4.81,3.21
18510,inf,inf,inf,inf
18511,74.59,72.77,4.14,4.79
18512,50.58,48.19,6.39,6.44
18513,65.22,56.33,1.44,0.43
18514,inf,inf,inf,inf
18515,inf,inf,inf,inf
18516,53.61,47.97,10.49,2.88
18517,62.14,28.22,4.51,2.3
18519,inf,inf,inf,inf
18521,inf,inf,inf,inf
18522,inf,inf,inf,inf
18524,63.05,68.28,0.37,1.37
18525,inf,inf,inf,inf
18526,inf,inf,inf,inf
18527,inf,inf,inf,inf
18528,inf,inf,inf,inf
18532,inf,inf,inf,inf
18533,54.88,67.63,0.91,1.38
18534,inf,inf,inf,inf
18535,33.17,57.37,15.13,18.54
18539,inf,inf,inf,inf
18540,0.88,10.77,9.89,12.0
18541,11.7,7.86,16.23,11.57
