,éûçèï 
5701,inf
5705,inf
5707,inf
5708,inf
5709,77.76
5713,inf
5722,inf
5723,inf
5724,inf
5728,inf
5733,inf
5734,inf
5735,95.44
5737,inf
5740,101.65
5745,inf
5753,inf
5758,inf
5766,89.77
5771,inf
5772,0.02
5773,inf
5775,inf
5776,inf
5780,67.6
5784,inf
5785,inf
5789,inf
5792,inf
5797,40.33
5798,37.04
5804,inf
5805,inf
5807,inf
5810,inf
5814,inf
5816,49.38
5820,23.32
5821,45.51
5824,inf
5828,75.32
5831,inf
5832,inf
5839,24.82
5840,38.29
5841,39.06
5843,64.91
5844,78.47
5846,inf
5847,inf
5856,35.98
5859,inf
5868,inf
5869,66.33
5876,inf
5881,inf
5882,inf
5883,inf
5891,inf
5892,inf
5893,inf
5897,inf
5912,9.98
5914,inf
5916,51.37
5922,inf
5929,inf
5930,inf
5931,inf
5932,104.24
5938,inf
5943,inf
5951,inf
5959,inf
5964,43.32
5969,44.24
5970,38.17
5971,inf
5973,73.49
5974,inf
5977,inf
5979,119.27
5983,5.3
5988,inf
5991,inf
6007,61.13
6014,inf
6016,28.13
6019,inf
6024,inf
6026,inf
6034,inf
6041,inf
6044,inf
6047,inf
6053,56.26
6056,37.17
6057,14.49
6066,inf
6067,inf
6070,inf
6071,inf
6074,inf
6075,inf
6077,inf
6079,inf
6084,inf
6090,inf
6091,inf
6096,inf
6099,inf
6100,inf
6107,81.9
6108,68.19
6109,64.76
6111,46.36
6113,79.55
6114,82.48
6115,90.45
6120,inf
6121,52.45
6123,inf
6127,inf
6131,30.65
6144,inf
6147,inf
6148,26.42
6150,inf
6159,inf
6160,6.78
6166,inf
6175,31.24
6177,66.13
6178,34.6
6181,119.83
6182,4.49
6183,22.93
6184,4.26
6192,inf
6198,inf
6200,10.45
6202,39.33
6204,14.65
6208,inf
6210,inf
6211,66.54
6217,inf
6221,76.69
6223,11.08
6228,inf
6229,inf
6230,inf
6231,inf
6235,inf
6240,inf
6243,inf
6247,33.5
6248,68.92
6249,37.86
6251,62.61
6252,inf
6256,40.26
6257,inf
6258,inf
6261,28.62
6264,inf
6266,inf
6272,1.28
6278,8.12
6279,13.85
6285,54.6
6286,inf
6292,inf
6297,40.24
6301,15.11
6302,6.09
6305,30.77
6307,57.76
6309,inf
6314,inf
6319,inf
6324,34.88
6325,16.3
6327,51.29
6328,19.18
6331,20.79
6332,22.01
6335,inf
6342,inf
6345,21.3
6347,13.78
6351,2.9
6352,89.48
6358,inf
6359,inf
6371,0.99
6374,1.29
6378,58.94
6381,53.82
6382,inf
6385,inf
6389,76.85
6390,inf
6391,39.86
6392,42.67
6394,9.91
6398,24.52
6401,8.84
6402,inf
6404,61.48
6406,inf
6411,inf
6414,76.86
6421,35.04
6422,inf
6424,inf
6426,inf
6427,inf
6431,inf
6432,inf
6435,inf
6439,69.04
6444,125.22
6448,11.1
6449,64.2
6452,inf
6454,inf
6458,inf
6460,87.79
6462,inf
6463,2.59
6468,10.11
6471,3.38
6474,66.19
6482,inf
6483,inf
6484,47.81
6487,49.14
6489,12.91
6494,7.45
6498,inf
6499,30.23
6504,inf
6505,inf
6514,6.45
6517,35.27
6521,50.96
6522,29.18
6526,inf
6534,83.89
6539,24.78
6540,40.8
6542,65.02
6548,109.08
6549,inf
6559,160.38
6560,inf
6562,inf
6564,50.13
6565,inf
6567,inf
6568,inf
6576,inf
6585,248.22
6590,48.83
6592,inf
6593,inf
6603,inf
6612,inf
6613,inf
6620,inf
6622,135.25
6625,inf
6631,inf
6633,527.68
6638,74.43
6639,55.68
6641,7.57
6642,inf
6643,inf
6657,inf
6658,inf
6659,inf
6672,74.89
6681,9.71
6683,31.93
6687,43.85
6690,23.82
6692,13.41
6693,inf
6694,inf
6698,inf
6699,inf
6709,1.0
6713,21.35
6714,83.18
6716,inf
6717,inf
6719,inf
6724,inf
6730,3.03
6738,11.57
6739,34.14
6743,inf
6749,50.84
6751,48.95
6758,12.15
6763,16.19
6764,35.3
6769,inf
6774,inf
6786,46.4
6787,22.29
6788,inf
6790,inf
6794,inf
6795,inf
6798,91.52
6799,inf
6801,2.22
6804,8.52
6805,11.15
6806,0.94
6807,3.48
6808,8.67
6810,66.83
6812,inf
6817,inf
6821,66.79
6824,32.58
6827,6.0
6830,8.54
6831,27.91
6834,59.07
6837,inf
6841,inf
6842,inf
6855,3.36
6875,19.16
6879,14.3
6882,64.28
6884,13.09
6885,19.82
6887,71.68
6888,inf
6889,inf
6890,inf
6892,59.32
6897,28.04
6899,9.41
6903,120.35
6904,20.29
6906,47.37
6909,0.45
6914,inf
6916,10.62
6917,inf
6933,47.12
6939,inf
6943,inf
6945,6.01
6948,11.59
6966,inf
6970,13.76
6972,31.23
6974,12.12
6975,32.81
6976,18.38
6978,69.66
6980,83.92
6988,inf
6990,inf
6996,1.11
7001,65.07
7003,6.67
7008,inf
7011,8.47
7012,inf
7014,inf
7018,2.98
7023,0.36
7029,12.48
7032,inf
7033,inf
7034,inf
7038,inf
7039,2.08
7040,22.14
7042,7.63
7046,11.26
7049,128.05
7052,3.68
7066,6.21
7067,23.46
7068,4.73
7069,10.2
7074,35.07
7077,108.51
7086,75.89
7088,29.98
7089,26.05
7091,9.13
7092,26.04
7094,20.02
7096,4.63
7099,20.96
7105,inf
7111,inf
7113,11.35
7114,21.49
7119,28.23
7120,2.98
7121,0.14
7122,35.75
7123,74.9
7129,inf
7130,inf
7132,18.45
7133,inf
7138,4.71
7142,2.59
7148,inf
7151,inf
7152,inf
7156,inf
7167,16.67
7169,15.56
7176,inf
7179,inf
7188,16.32
7196,29.13
7197,36.26
7198,inf
7199,inf
7200,inf
7202,83.24
7203,inf
7204,inf
7205,inf
7206,inf
7207,14.14
7208,13.02
7209,14.42
7210,21.68
7214,132.33
7218,inf
7220,69.49
7222,inf
7227,inf
7229,inf
7236,127.49
7238,8.39
7239,7.51
7243,inf
7246,inf
